"","alpha","theta","estimated_alpha","estimated_theta"
"1",0.1,0.1,0.141828757632518,3.62069288199274
"2",0.1,0.4,0.142969319358055,2.04422133181987
"3",0.1,0.7,0.402011612350171,0.7256395297991
"4",0.1,1,0.238560042084675,1.25128619697724
"5",0.4,0.1,0.223204941883843,1.15474576621639
"6",0.4,0.4,0.595010095391093,0.381730102848182
"7",0.4,0.7,0.233463122887794,1.86236616266959
"8",0.4,1,0.363427564423119,0.713160183076788
"9",0.7,0.1,0.19738326820766,1.79770979496931
"10",0.7,0.4,0.45327809281642,0.512472436865944
"11",0.7,0.7,0.320815730940334,0.904886059722563
"12",0.7,1,0.269944159201749,1.79523955378648
"13",1,0.1,0.214613657106327,1.12242588671642
"14",1,0.4,0.229193532636435,1.95859790592053
"15",1,0.7,0.148463098910654,1.5543548435895
"16",1,1,0.425134695957794,0.831851288502278
